scenario	location	Animal facilities	Dry Cow	Early Lactation Cow	Electricity, medium voltage, at grid/US WITH US ELECTRICITY U	Farm Fuel Use, IFSM	Heat, natural gas, at boiler modulating <100kW/RER WITH US ELECTRICITY U	Late Lactation Cow	Machinery	Mid Lactation Cow	Milking/CH WITH US ELECTRICITY U	Minerals Mixture	Older Heifer	Slurry spreading, by vacuum tanker/CH WITH US ELECTRICITY U	Transport, single unit truck, gasoline powered NREL /US	Young Heifer	Farm Level	Total
3xCS	NY	0.003695	0.114738	0.118184	0.041717	0.027187	0.00534	0.16554	0.008413	0.132276	0.041764	0.000788	0.085158	0.004536	0.000573	0.038419	0.196314	0.984642
50x50	NY	0.003698	0.094695	0.100292	0.041498	0.036295	0.005334	0.144007	0.00842	0.113295	0.041756	0.000788	0.070097	0.00454	0.000573	0.031818	0.188125	0.885231
Baseline	NY	0.003696	0.113167	0.1152	0.040814	0.030406	0.005334	0.149582	0.008414	0.124535	0.04177	0.000788	0.082265	0.004536	0.000573	0.036881	0.204096	0.962057
Cover Crop	NY	0.003695	0.113135	0.11476	0.040651	0.031282	0.005334	0.149059	0.008414	0.124287	0.041771	0.000788	0.082186	0.004536	0.000573	0.036925	0.165894	0.92329
Digester	NY	0.003696	0.113231	0.115322	0.040962	0.030404	0.005334	0.149268	0.008414	0.12475	0.04177	0.000788	0.08238	0.004536	0.000573	0.036954	0.085803	0.844185
Double Crop	NY	0.003699	0.112211	0.112018	0.041103	0.032102	0.005331	0.143879	0.008422	0.120264	0.041762	0.000788	0.081249	0.00454	0.000573	0.036494	0.165499	0.909934
Flare	NY	0.003696	0.113177	0.115274	0.040802	0.03044	0.005334	0.149474	0.008414	0.124737	0.04177	0.000788	0.08233	0.004536	0.000573	0.036931	0.007323	0.765599
Hi Dig	NY	0.003552	0.108446	0.112849	0.041011	0.030362	0.00538	0.146208	0.008086	0.121745	0.042127	0.000757	0.078792	0.004359	0.000551	0.035266	0.19649	0.935981
Hi Eff	NY	0.003516	0.10742	0.112858	0.040893	0.028738	0.005392	0.145036	0.008005	0.121169	0.042216	0.000749	0.078025	0.004316	0.000545	0.03493	0.194287	0.928095
Hi Fat	NY	0.003621	0.112067	0.115764	0.041586	0.02971	0.005357	0.148843	0.008244	0.124548	0.041953	0.000772	0.081318	0.004444	0.000561	0.036359	0.199429	0.954576
Low Protein	NY	0.003695	0.108452	0.120713	0.040558	0.032844	0.005336	0.13971	0.008412	0.122638	0.041765	0.000787	0.077742	0.004535	0.000573	0.03561	0.186246	0.929616
Mitigation	NY	0.003498	0.102503	0.115379	0.040428	0.030573	0.0054	0.134218	0.007964	0.1177	0.042268	0.000746	0.073332	0.004293	0.000542	0.033566	0.061939	0.774349
Mitigation 2	NY	0.003502	0.102356	0.114793	0.039977	0.032107	0.005399	0.133054	0.007972	0.117164	0.042259	0.000746	0.073062	0.004298	0.000543	0.033456	0.05459	0.765278
Mitigation 3	NY	0.003532	0.086157	0.100675	0.040743	0.037177	0.005388	0.125599	0.008042	0.104831	0.042183	0.000753	0.062662	0.004335	0.000548	0.029159	0.053977	0.705761
No Till	NY	0.003695	0.113169	0.115186	0.040531	0.03022	0.005334	0.150365	0.008414	0.124941	0.041771	0.000788	0.082403	4.54E-03	0.000573	3.70E-02	0.169519	0.928466
No Till Inj	NY	0.003696	0.113139	0.115089	0.040043	0.031929	0.005334	0.149148	0.008414	0.12461	0.041769	0.000788	0.082262	0.004536	0.000573	0.036897	0.160793	0.91902
Same Day	NY	0.003696	0.113009	0.114653	0.040265	0.029955	0.005334	0.148966	0.008414	0.124239	0.04177	0.000788	0.08208	0.004536	0.000573	0.036763	0.166243	0.921284
Scenario 1	NY	0.00342	0.083809	0.103724	0.042985	0.033293	0.005426	0.132773	0.007787	0.109351	0.042452	0.000729	0.062576	0.004198	0.00053	0.029718	0.153075	0.815846
Scenario 2	NY	0.003416	0.100418	0.119129	0.042509	0.026547	0.005428	0.138819	0.007777	0.12382	0.042464	0.000728	0.073772	0.004192	0.00053	0.034478	0.158558	0.882585
Scenario 3	NY	0.003423	0.100094	0.117773	0.042826	0.028663	0.005426	0.137262	0.007793	0.122177	0.042446	0.00073	0.072891	0.004201	0.000531	0.034371	0.154636	0.875243
Sep & digestion	NY	0.003696	0.113093	0.115031	0.040503	0.02996	0.005334	0.149573	0.008414	0.124516	0.04177	0.000788	0.082213	0.004536	0.000573	0.036832	0.086226	0.843058
Separation	NY	0.003696	0.113072	0.115078	0.040422	0.029964	0.005334	0.149305	0.008414	0.124555	0.04177	0.000788	0.082192	0.004536	0.000573	0.036824	0.169565	0.926088
Summer Appl	NY	0.003695	0.112902	0.11432	0.040391	0.029935	0.005334	0.148089	0.008414	0.123684	0.041771	0.000788	0.081868	4.54E-03	0.000573	3.66E-02	0.14038	0.893296
3xCS	WI	0.003479	0.176856	0	0.047597	0.018629	0.005333	0.160493	0.00792	0.144857	0.041814	0.007414	0.129318	4.27E-02	0.005393	6.10E-02	0.190311	1.043075
50x50	WI	0.003478	0.146687	0	0.047546	0.016234	0.005333	0.141558	0.007919	0.125882	0.041814	0.007414	0.10685	4.27E-02	0.005393	4.98E-02	0.181821	0.930432
Hi Fat	WI	0.003408	0.176183	0	0.047123	0.018538	0.005356	0.166816	0.00776	0.146985	0.042002	0.007264	0.124559	4.18E-02	0.005284	5.73E-02	0.193994	1.044357
Baseline	WI	0.003478	0.17814	0	0.047192	0.018895	0.005332	0.168445	0.007919	0.150421	0.041814	0.007414	0.125902	4.27E-02	0.005393	5.78E-02	0.197835	1.058699
Cover Crop	WI	0.003478	0.178188	0	0.047237	0.018926	0.005333	0.166955	0.007919	0.151451	0.041814	0.007414	0.126021	0.042695	0.005393	0.057821	0.196365	1.05701
Covered Tank	WI	0.003478	0.178315	0	0.047206	0.018895	0.005332	0.168367	0.007919	0.150256	0.041814	0.007414	0.126318	4.27E-02	0.005393	5.81E-02	0.119356	0.98084
